ID,Patch,Year,Month,Team,Side,Result,Time,Kills,Deaths,Assists,Pick1,Role1,Pick2,Role2,Pick3,Role3,Pick4,Role4,Pick5,Role5,E_Pick1,E_Role1,E_Pick2,E_Role2,E_Pick3,E_Role3,E_Pick4,E_Role4,E_Pick5,E_Role5,Ban1,Ban2,Ban3,Ban4,Ban5,E_Ban1,E_Ban2,E_Ban3,E_Ban4,E_Ban5
1,13.11,2023,June,ANKORA(EBL),Red,Win,:38:39,24,26,54,Azir,Mid,Aphelios,Adc,Milio,Sup,Maokai,Jun,K'Sante,Top,LeBlanc,Mid,Xayah,Adc,Rakan,Sup,Ornn,Top,Kha'Zix,Jun,Galio,Karthus,Yuumi,Wukong,,Vi,Poppy,Neeko,Rek'Sai,Sion
2,13.11,2023,June,ANKORA(EBL),Blue,Win,:26:16,22,17,47,Maokai,Jun,Aphelios,Adc,Lulu,Sup,Renekton,Top,Azir,Mid,Milio,Sup,Lucian,Adc,K'Sante,Top,Jarvan IV,Jun,Kai'Sa,Mid,Karthus,Yuumi,Xayah,Gragas,Wukong,LeBlanc,Neeko,Vi,Gwen,
3,13.11,2023,June,ANKORA(EBL),Red,Win,:23:12,18,13,33,Zeri,Adc,Yuumi,Sup,K'Sante,Top,Viego,Jun,Ahri,Mid,Gragas,Jun,Kai'Sa,Adc,Nautilus,Sup,Pantheon,Top,Aphelios,Adc,LeBlanc,Lucian,Neeko,Poppy,Gwen,Vi,Azir,Milio,Maokai,Sejuani
4,13.11,2023,June,ANKORA(EBL),Blue,Lose,00:27:15,16,22,33,Varus,Adc,Sejuani,Jun,Azir,Mid,Nautilus,Sup,Renekton,Top,Aphelios,Adc,Gragas,Jun,Rakan,Sup,Twisted Fate,Mid,Jax,Top,Karthus,Lucian,Yuumi,Wukong,Olaf,Vi,Neeko,LeBlanc,K'Sante,Milio
5,13.11,2023,June,ANKORA(EBL),Blue,Win,:14:56,13,13,11,Vi,Jun,Ahri,Mid,Ezreal,Adc,Soraka,Sup,K'Sante,Jun,Xayah,Adc,Maokai,Jun,Milio,Sup,Galio,Mid,Pantheon,Top,Karthus,Yuumi,Lucian,Lissandra,Tristana,Neeko,LeBlanc,Azir,Rakan,Karma
6,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:21:41,37,18,54,Neeko,Mid,Aphelios,Adc,Vi,Jun,Rakan,Sup,K'Sante,Top,Milio,Sup,Xayah,Adc,Nocturne,Jun,Akali,Mid,Mordekaiser,Top,Lucian,Maokai,Sejuani,Darius,Lissandra,LeBlanc,Zeri,Yuumi,Lulu,Blitzcrank
7,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:30:16,35,21,89,Yuumi,Sup,Aphelios,Adc,Ahri,Mid,Poppy,Jun,Renekton,Top,Zeri,Adc,Sejuani,Jun,Rakan,Sup,Yasuo,Mid,Mordekaiser,Top,Lucian,Maokai,Annie,Sylas,Darius,Neeko,Vi,LeBlanc,K'Sante,Ornn
8,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:20:48,27,15,27,Vi,Jun,Ahri,Mid,Aphelios,Adc,Varus,Top,Blitzcrank,Sup,Xayah,Adc,Wukong,Jun,Rakan,Sup,K'Sante,Top,Ekko,Mid,Lucian,Annie,Maokai,Lissandra,Darius,Neeko,LeBlanc,Yuumi,Nautilus,Milio
9,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:22:48,21,12,32,Yuumi,Sup,Poppy,Jun,Tristana,Adc,Azir,Mid,Jax,Top,Zeri,Adc,Sejuani,Jun,Milio,Sup,Kai'Sa,Mid,Jayce,Top,Lucian,Annie,Maokai,,,Neeko,LeBlanc,Vi,,
10,13.11,2023,June,WESPORT(PL2),Red,Lose,:25:39,13,27,27,Tristana,Adc,Sejuani,Jun,Nautilus,Sup,Azir,Mid,Renekton,Top,Zeri,Adc,Neeko,Mid,Viego,Jun,Leona,Sup,K'Sante,Top,Lucian,LeBlanc,Yuumi,Lulu,Renata,Vi,Maokai,Milio,Syndra,Orianna
11,13.11,2023,June,WESPORT(PL2),Blue,Win,:28:03,27,14,57,Xayah,Adc,Poppy,Jun,Rakan,Sup,Azir,Mid,Gnar,Top,Varus,Adc,Gragas,Top,Nautilus,Sup,Viego,Jun,Zoe,Mid,Lucian,Milio,Maokai,Trundle,Annie,Zeri,LeBlanc,Neeko,Olaf,K'Sante
