Date,Top,Jgl,Mid,Bot,Sup,Patch,Win - Lose,Opponent,E-Top,E-Jgl,E-Mid,E-Bot,E-Sup,side,Winrate since the start,"58,48%",Winrate Red: 057% | Winrate Blue: 062%,,,,,,,,Champion
20/01/2025,Jayce,XinZhao,Viktor,Ezreal,Leona,15.1b,Win,RBT,KSante,JarvanIV,Orianna,MissFortune,Rell,Blue,,,,,,,,,,,
20/01/2025,Jax,Zyra,Jayce,Ezreal,Alistar,15.1b,Win,RBT,Corki,Maokai,Irelia,Varus,Leona,Red,,,,,,,,,,,
20/01/2025,Jayce,Ivern,Ryze,Ezreal,Leona,15.1b,Lose,RBT,Ambessa,MonkeyKing,Aurora,Varus,Braum,Blue,,,,,,,,,,,
20/01/2025,Rumble,Volibear,Azir,Varus,Alistar,15.1b,Win,RBT,Galio,Viego,Sylas,Ezreal,Rell,Blue,,,,,,,,,,,
21/01/2025,Gnar,Ivern,Akali,Ashe,Leona,15.1b,Lose,LR,,JarvanIV,Orianna,Corki,Alistar,Red,,,,,,,,,,,
21/01/2025,KSante,Nocturne,Aurora,Varus,Thresh,15.1b,Lose,LR,Jax,Vi,Azir,Ezreal,Braum,Blue,,,,,,,,,,,
21/01/2025,Rumble,Volibear,Yone,Ziggs,Rell,15.1b,Lose,LR,Sion,Viego,Syndra,Kalista,Renata,Red,,,,,,,,,,,
21/01/2025,Rumble,Volibear,Viktor,Varus,Rell,15.1b,Lose,LR,Ambessa,MonkeyKing,Azir,Kalista,Renata,Blue,,,,,,,,,,,
21/01/2025,Aurora,Nocturne,Swain,Varus,Rell,15.1b,Lose,LR,Sion,Vi,Galio,Ezreal,Rakan,Red,,,,,,,,,,,
23/01/2025,Jayce,Maokai,Viktor,Ezreal,Alistar,15.1b,Win,KHK,Jax,Nocturne,Orianna,Varus,Rell,Red,,,,,,,,,,,
23/01/2025,Galio,Volibear,Azir,Ashe,Thresh,15.1b,Lose,KHK,Rumble,MonkeyKing,Ahri,Zeri,Braum,Blue,,,,,,,,,,,
23/01/2025,Ambessa,Ivern,Hwei,Jhin,Leona,15.1b,Lose,KHK,KSante,Zyra,Yone,MissFortune,Nautilus,Red,,,,,,,,,,,
23/01/2025,Jayce,Maokai,Viktor,Zeri,Rakan,15.1b,Lose,KHK,Rumble,Sejuani,Yone,Ezreal,Poppy,Blue,,,,,,,,,,,
23/01/2025,Jayce,Maokai,Hwei,Ezreal,Rell,15.1b,Lose,KHK,KSante,MonkeyKing,Azir,Varus,Renata,Red,,,,,,,,,,,
24/01/2025,Jayce,Nocturne,Viktor,Varus,Rell,15.1b,Win,ROSS,Jax,Sejuani,Orianna,Ezreal,Leona,Blue,,,,,,,,,,,
24/01/2025,Sion,MonkeyKing,Azir,Ashe,Braum,15.1b,Win,ROSS,KSante,Vi,Aurora,MissFortune,Karma,Red,,,,,,,,,,,
24/01/2025,Rumble,Volibear,Syndra,Xayah,Rakan,15.1b,Win,ROSS,Galio,ReKSai,Ahri,Jinx,Nautilus,Blue,,,,,,,,,,,
24/01/2025,Renekton,Maokai,Jayce,Ezreal,Rell,15.1b,Win,ROSS,Ambessa,Viego,Aurora,Varus,Nautilus,Blue,,,,,,,,,,,
24/01/2025,,,,,,15.1b,Enemy cancel,ROSS,,,,,,,,,,,,,,,,,
27/01/2025,Renekton,Maokai,Jayce,Kaisa,Rell,15.2,Win,SGE,Ambessa,Nocturne,Taliyah,Varus,Alistar,Red,,,,,,,,,,,
